t,S,I,R,Re
21.0,383.940488658157,143.91714693002095,472.1423644118222,0.7678809773163139
21.1,381.177707672227,143.08199924270042,475.7402930850727,0.7623554153444538
21.2,378.4507242482024,142.2319326856575,479.3173430661402,0.7569014484964047
21.3,375.75933535139694,141.3675232653215,482.8731413832817,0.7515186707027938
21.4,373.1033270222744,140.48934351281096,486.4073294649147,0.7462066540445488
21.5,370.48247494848414,139.59796199878093,489.919563052735,0.7409649498969683
21.6,367.8965450255305,138.69394287176505,493.4095121027045,0.735793090051061
21.7,365.34529390560596,137.77784541989544,496.87686067449863,0.7306905878112119
21.8,362.8284695341753,136.8502236558287,500.32130680999603,0.7256569390683506
21.9,360.34581167395265,135.91162592465568,503.74256240139175,0.7206916233479053
22.0,357.89705241596533,134.96259453452663,507.1403530495081,0.7157941048319306
22.1,355.4819166774494,134.00366540967937,510.5144179128713,0.7109638333548988
22.2,353.10012268636757,133.0353677655192,513.8645095481132,0.7062002453727352
22.3,350.75138245238605,132.05822380536276,517.1903937422512,0.7015027649047721
22.4,348.43540222418915,131.07274843842558,520.4918493373852,0.6968708044483783
22.5,346.1518829330505,130.07944901860358,523.7686680483458,0.6923037658661011
22.6,343.90052062261634,129.07882510357265,527.0206542738109,0.6878010412452328
22.7,341.68100686489265,128.07136823370706,530.2476249014003,0.6833620137297853
22.8,339.4930291624598,127.05756173029727,533.449409107243,0.6789860583249195
22.9,337.33627133696905,126.03788051253058,536.6258481505005,0.6746725426739381
23.0,335.2104139040035,125.01279093268289,539.7767951633137,0.6704208278080068
23.1,333.1151344344115,123.98275062895779,542.9021149366308,0.666230268868823
23.2,331.0501079022458,122.94820839539952,546.0016837023547,0.6621002158044916
23.3,329.01500701946156,121.90960406829878,549.0753889122398,0.658030014038923
23.4,327.009502557548,120.86736842850486,552.1231290139473,0.6540190051150959
23.5,325.0332636562857,119.8219231190545,555.1448132246599,0.6500665273125714
23.6,323.0859581198378,118.77368057752608,558.1403613026362,0.6461719162396756
23.7,321.16725270039734,117.72304398252841,561.1097033170743,0.6423345054007947
23.8,319.2768133696275,116.67040721373503,564.0527794166375,0.6385536267392551
23.9,317.4143055781406,115.61615482487856,566.9695395969809,0.6348286111562812
24.0,315.5793945032729,114.56066202912427,569.8599434676029,0.6311587890065458
24.1,313.77174528542065,113.50429469624842,572.723960018331,0.6275434905708412
24.2,311.991023253209,112.44740936105384,575.5615673857372,0.6239820465064179
24.3,310.2368941377726,111.39035324246387,578.3727526197636,0.6204737882755452
24.4,308.50902427643,110.33346427274485,581.1575114508252,0.61701804855286
24.5,306.80708080603887,109.27707113631737,583.9158480576438,0.6136141616120777
24.6,305.1307318463205,108.2214933176278,586.6477748360517,0.610261463692641
24.7,303.479646673445,107.16704115756258,589.3533121689924,0.60695929334689
24.8,301.85349588416824,106.1140159179003,592.0324881979315,0.6037069917683365
24.9,300.2519515508119,105.06270985330912,594.685338595879,0.6005039031016238
25.0,298.6746873673783,104.01340629041003,597.3119063422117,0.5973493747347566
25.1,297.1213787870881,102.96637971343999,599.912241499472,0.5942427575741761
25.2,295.5917031516295,101.9218958560626,602.486400992308,0.5911834063032589
25.3,294.08533981240265,100.88021179888787,605.0344483887095,0.5881706796248053
25.4,292.6019702440415,99.84157607227682,607.5564536836818,0.585203940488083
25.5,291.1412781504906,98.80622876402083,610.0524930854887,0.5822825563009811
25.6,289.70294956391126,97.77440163149964,612.5226488045892,0.5794058991278225
25.7,288.28667293668667,96.74631821793675,614.9670088453767,0.5765733458733734
25.8,286.8921392267905,95.72219397238447,617.3856668008251,0.5737842784535809
25.9,285.51904197677953,94.70223637308582,619.7787216501347,0.571038083953559
26.0,284.16707738666446,93.68664505387378,622.1462775594619,0.5683341547733288
26.1,282.8359443809084,92.67561193328298,624.4884436858086,0.5656718887618168
26.2,281.525344669797,91.66932134606233,626.8053339841407,0.563050689339594
26.3,280.2349828054172,90.6679501767906,629.0970670177923,0.5604699656108344
26.4,278.9645662324774,89.6716679953106,631.363765772212,0.5579291324649548
26.5,277.71380533419466,88.68063719371057,633.6055574720948,0.5554276106683893
