t,prey,predator
151.49,38.297333391299674,9.602596253978584
151.5,38.26207995865884,9.610563848232715
151.51,38.22679800613572,9.618504172928905
151.52,38.19148788091391,9.62641712202409
151.53,38.156149930224345,9.634302589943259
151.54,38.120784501335564,9.642160471582931
151.55,38.085391941543996,9.649990662314634
151.56,38.04997259816424,9.65779305798834
151.57,38.014526818519364,9.665567554935894
151.58,37.97905494993122,9.673314049974419
151.59,37.943557339710765,9.681032440409687
151.6,37.90803433514842,9.688722624039487
151.61,37.87248628350441,9.69638449915695
151.62,37.83691353199913,9.70401796455387
151.63,37.80131642780357,9.711622919523988
151.64,37.765695318029685,9.71919926386626
151.65,37.730050549720836,9.7267468978881
151.66,37.694382469842225,9.734265722408601
151.67,37.65869142527136,9.74175563876173
151.68,37.62297776278852,9.749216548799497
151.69,37.587241829067295,9.756648354895107
151.7,37.55148397066504,9.764050959946083
151.71,37.51570453401347,9.77142426737736
151.72,37.479903865409206,9.77876818114437
151.73,37.44408231100433,9.786082605736079
151.74,37.40824021679704,9.793367446178017
151.75,37.37237792862224,9.800622608035281
151.76,37.33649579214221,9.807847997415506
151.77,37.300594152837256,9.815043520971807
151.78,37.26467335599645,9.822209085905712
151.79,37.22873374670833,9.829344599970053
151.8,37.19277566985165,9.836449971471836
151.81,37.15679947008616,9.843525109275088
151.82,37.120805491843434,9.850569922803672
151.83,37.08479407931764,9.857584322044081
151.84,37.048765576456454,9.8645682175482
151.85,37.01272032695193,9.871521520436046
151.86,36.9766586742314,9.878444142398477
151.87,36.94058096144845,9.885335995699874
151.88,36.90448753147384,9.892196993180802
151.89,36.86837872688657,9.899027048260631
151.9,36.832254889964865,9.905826074940146
151.91,36.79611636267726,9.912593987804112
151.92,36.7599634866737,9.91933070202382
151.93,36.72379660327665,9.926036133359613
151.94,36.68761605347227,9.932710198163361
151.95,36.651422177901615,9.939352813380934
151.96,36.61521531685185,9.945963896554625
151.97,36.578995810247505,9.952543365825559
151.98,36.542763997641785,9.959091139936065
151.99,36.50652021820789,9.965607138232025
152.0,36.47026481073038,9.972091280665188
152.01,36.43399811359658,9.978543487795456
152.02,36.39772046478802,9.984963680793147
152.03,36.3614322018719,9.991351781441224
152.04,36.32513366199259,9.997707712137494
152.05,36.288825181863196,10.004031395896774
152.06,36.252507097757146,10.010322756353041
152.07,36.2161797454998,10.016581717761534
152.08,36.17984346046011,10.022808205000844
152.09,36.143498577542346,10.029002143574957
152.1,36.10714543117779,10.035163459615278
152.11,36.070784355316576,10.041292079882629
152.12,36.034415683419454,10.047387931769201
152.13,35.998039748449685,10.053450943300488
152.14,35.96165688286493,10.059481043137188
152.15,35.925267418609195,10.065478160577074
152.16,35.888871687104825,10.071442225556833
152.17,35.85247001924451,10.077373168653873
152.18,35.81606274538337,10.0832709210881
152.19,35.77965019533107,10.089135414723675
152.2,35.743232698343974,10.094966582070718
152.21,35.706810583117324,10.100764356287002
152.22,35.670384177777514,10.106528671179605
152.23,35.63395380987435,10.112259461206536
152.24,35.597519806373406,10.117956661478326
152.25,35.56108249364838,10.123620207759592
152.26,35.524642197473526,10.129250036470562
152.27,35.488199243016126,10.134846084688586
152.28,35.451753954828995,10.140408290149594
152.29,35.41530665684304,10.145936591249534
152.3,35.37885767235989,10.151430927045784
152.31,35.3424073240445,10.15689123725852
152.32,35.3059559339179,10.162317462272066
152.33,35.26950382334993,10.167709543136196
152.34,35.23305131305201,10.173067421567422
152.35,35.19659872307002,10.178391039950242
152.36,35.16014637277716,10.183680341338354
152.37,35.12369458086693,10.188935269455841
152.38,35.08724366534608,10.194155768698334
152.39,35.050793943527665,10.19934178413412
152.4,35.01434573202413,10.204493261505247
152.41,34.977899346740465,10.209610147228577
152.42,34.94145510286736,10.214692388396815
152.43,34.90501331487447,10.2197399327795
152.44,34.8685742965037,10.224752728823985
152.45,34.83213836076253,10.229730725656351
152.46,34.79570581991741,10.234673873082322
152.47,34.75927698548721,10.239582121588132
152.48,34.72285216823671,10.24445542234136
152.49,34.68643167817014,10.249293727191741
152.5,34.65001582452476,10.25409698867194
152.51,34.61360491576454,10.258865159998294
152.52,34.577199259573845,10.263598195071527
152.53,34.54079916285118,10.268296048477431
152.54,34.504404931703,10.272958675487514
152.55,34.46801687143757,10.277586032059618
152.56,34.43163528655887,10.282178074838507
152.57,34.39526048076058,10.28673476115642
152.58,34.35889275692004,10.2912560490336
152.59,34.32253241709241,10.295741897178774
152.6,34.286179762504716,10.300192264989631
152.61,34.24983509355006,10.304607112553242
152.62,34.21349870978186,10.308986400646459
152.63,34.17717090990811,10.313330090736287
152.64,34.14085199178574,10.317638144980217
152.65,34.10454225241501,10.321910526226533
152.66,34.06824198793395,10.326147198014588
152.67,34.03195149361289,10.330348124575043
152.68,33.99567106384897,10.334513270830085
152.69,33.959400992160795,10.338642602393607
152.7,33.923141571183095,10.342736085571358
152.71,33.88689309266143,10.346793687361066
